x1,y1,z1,x2,y2,z2
-2.429,2.411,67.872,-3.531,2.240,67.880
4.620,2.476,64.523,3.542,2.346,64.419
-1.021,2.642,71.202,-2.095,2.483,71.382
-0.984,2.657,66.787,-2.067,2.491,66.851
8.457,2.593,64.503,7.416,2.447,64.427
1.744,2.538,65.577,0.780,2.350,65.521
8.485,2.567,62.829,7.437,2.417,62.727
9.744,2.601,62.825,8.751,2.428,62.668
7.400,2.664,64.920,6.356,2.459,64.810
5.185,2.608,63.346,4.188,2.430,63.224
0.428,2.839,69.174,-0.685,2.770,69.313
6.618,2.698,63.836,5.549,2.476,63.683
7.067,2.853,66.472,5.981,2.731,66.512
-2.872,2.787,69.018,-3.984,2.608,69.050
-0.885,2.915,70.932,-1.966,2.721,70.859
8.523,2.928,66.804,7.455,2.752,66.754
4.630,2.949,69.782,3.522,2.850,69.862
2.085,2.885,66.220,1.038,2.754,66.189
5.092,2.888,65.558,4.037,2.756,65.500
4.429,2.966,66.430,3.422,2.817,66.259
7.950,3.044,67.509,6.897,2.714,67.456
9.062,2.910,63.549,8.026,2.719,63.440
-1.671,3.124,70.854,-2.799,3.058,71.010
9.185,2.913,62.328,8.129,2.750,62.195
3.643,3.141,69.308,2.560,2.986,69.375
8.957,3.046,64.299,7.860,2.852,64.205
5.149,3.235,69.295,4.115,3.124,69.233
0.382,3.292,71.226,-0.699,3.276,71.468
-2.313,3.166,69.933,-3.443,3.015,70.100
-1.324,3.263,68.311,-2.417,3.183,68.437
4.642,3.499,71.328,3.473,3.300,71.360
6.407,3.368,64.895,5.385,3.196,64.796
9.189,3.361,65.030,8.145,3.176,64.952
11.187,3.597,65.021,10.131,3.433,64.823
10.356,3.375,63.189,9.382,3.119,63.113
1.696,3.547,68.971,0.614,3.515,69.102
7.011,3.538,68.608,5.943,3.266,68.530
5.823,3.549,66.093,4.813,3.353,65.963
8.404,3.460,66.318,7.372,3.211,66.184
7.388,3.576,67.672,6.316,3.355,67.580
3.185,3.671,71.630,2.078,3.493,71.623
11.946,3.536,63.641,10.901,3.270,63.462
-1.452,3.541,69.253,-2.558,3.436,69.326
5.255,3.536,66.663,4.233,3.418,66.542
5.707,3.834,67.578,4.755,3.627,67.448
